Data,Hora,Natureza,Idade da Vítima,Corporação,Momento da morte
28/07/2017,16:59:59,HOMICIDIO DOLOSO,23,AGEPEN,Fora de serviço
05/11/2019,16:59:59,HOMICIDIO DOLOSO,23,PM,Fora de serviço
07/05/2016,00:29:59,HOMICIDIO DOLOSO,24,PM,Fora de serviço
25/06/2015,00:29:59,HOMICIDIO DOLOSO,25,PM,Fora de serviço
08/05/2016,11:19:59,HOMICIDIO DOLOSO,25,PM,Em serviço
01/03/2020,23:30:00,HOMICIDIO DOLOSO,25,AGEPEN,Fora de serviço
07/01/2016,18:29:59,HOMICIDIO DOLOSO,26,PM,Em serviço
02/07/2016,01:40:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),26,AGEPEN,Fora de serviço
13/07/2021,15:29:59,HOMICIDIO DOLOSO,26,PM,Fora de serviço
12/02/2016,06:15:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),27,PM,Fora de serviço
06/09/2022,19:54:59,HOMICIDIO DOLOSO,27,PM,Fora de serviço
12/02/2024,20:41:59,HOMICIDIO DOLOSO,27,PM,Fora de serviço
24/01/2015,05:50:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),28,PC,Fora de serviço
06/04/2016,21:40:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),28,PC,Fora de serviço
01/05/2018,22:59:59,HOMICIDIO DOLOSO,28,PM,Fora de serviço
17/12/2024,10:00:00,HOMICIDIO DOLOSO,28,PM,Em serviço
12/08/2016,09:00:24,ROUBO SEGUIDO DE MORTE (LATROCINIO),29,PM,Fora de serviço
23/12/2018,21:00:00,HOMICIDIO DOLOSO,29,PM,Fora de serviço
20/09/2020,03:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),29,PM,Fora de serviço
04/12/2024,03:45:00,HOMICIDIO DOLOSO,29,PM,Em serviço
04/11/2016,03:30:00,HOMICIDIO DOLOSO,30,PM,Em serviço
19/06/2020,19:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),30,PM,Fora de serviço
13/04/2022,19:08:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),30,PM,Fora de serviço
13/07/2024,16:56:59,HOMICIDIO DOLOSO,30,PM,Fora de serviço
29/02/2020,14:27:59,HOMICIDIO DOLOSO,31,PM,Fora de serviço
11/11/2015,21:29:59,HOMICIDIO DOLOSO,32,PM,Fora de serviço
30/06/2016,17:00:00,HOMICIDIO DOLOSO,32,PM,Em serviço
14/10/2016,10:06:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),32,PM,Em serviço
16/12/2016,19:40:00,HOMICIDIO DOLOSO,32,PM,Em serviço
14/10/2021,06:49:59,HOMICIDIO DOLOSO,32,AGEPEN,Fora de serviço
30/06/2016,17:00:00,HOMICIDIO DOLOSO,33,PM,Em serviço
04/08/2015,13:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),34,PM,Fora de serviço
16/04/2017,01:30:00,HOMICIDIO DOLOSO,34,PM,Fora de serviço
24/04/2017,13:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),34,PM,Fora de serviço
24/09/2017,00:54:00,HOMICIDIO DOLOSO,34,PM,Fora de serviço
02/03/2018,08:10:00,HOMICIDIO DOLOSO,34,AGEPEN,Fora de serviço
22/08/2021,02:40:00,HOMICIDIO DOLOSO,34,PM,Fora de serviço
